001-87321-先跑起来_python_三大系统选择_windows_mac_linux.sy.md,10,47,52,001-87321-先跑起来_python_三大系统选择_windows_mac_linux,先跑起来_python_三大系统选择_windows_mac_linux,        - [先跑起来_python_三大系统选择_windows_mac_linux](./md/001-87321-先跑起来_python_三大系统选择_windows_mac_linux.sy.md)
002-1075257-终端_CLI_GUI_编程环境_游戏_真实_元宇宙.sy.md,12,38,43,002-1075257-终端_CLI_GUI_编程环境_游戏_真实_元宇宙,终端_CLI_GUI_编程环境_游戏_真实_元宇宙,        - [终端_CLI_GUI_编程环境_游戏_真实_元宇宙](./md/002-1075257-终端_CLI_GUI_编程环境_游戏_真实_元宇宙.sy.md)
003-1081079-终端大冒险_终端命令_whoami_pwd_ls.sy.md,12,37,42,003-1081079-终端大冒险_终端命令_whoami_pwd_ls,终端大冒险_终端命令_whoami_pwd_ls,        - [终端大冒险_终端命令_whoami_pwd_ls](./md/003-1081079-终端大冒险_终端命令_whoami_pwd_ls.sy.md)
004-820839-游乐场_和python一起玩耍_python解释器_数学运算.sy.md,11,42,47,004-820839-游乐场_和python一起玩耍_python解释器_数学运算,游乐场_和python一起玩耍_python解释器_数学运算,        - [游乐场_和python一起玩耍_python解释器_数学运算](./md/004-820839-游乐场_和python一起玩耍_python解释器_数学运算.sy.md)
005-1075264-退出游乐场_重启游乐场_系统态shell_应用态_quit.sy.md,12,42,47,005-1075264-退出游乐场_重启游乐场_系统态shell_应用态_quit,退出游乐场_重启游乐场_系统态shell_应用态_quit,        - [退出游乐场_重启游乐场_系统态shell_应用态_quit](./md/005-1075264-退出游乐场_重启游乐场_系统态shell_应用态_quit.sy.md)
006-87323-指法标准_键盘正位_你好世界_hello_world_单引号_双引号.sy.md,10,45,50,006-87323-指法标准_键盘正位_你好世界_hello_world_单引号_双引号,指法标准_键盘正位_你好世界_hello_world_单引号_双引号,        - [指法标准_键盘正位_你好世界_hello_world_单引号_双引号](./md/006-87323-指法标准_键盘正位_你好世界_hello_world_单引号_双引号.sy.md)
007-1075265-print函数_字符串_display_电传打字机_程序员的浪漫.sy.md,12,45,50,007-1075265-print函数_字符串_display_电传打字机_程序员的浪漫,print函数_字符串_display_电传打字机_程序员的浪漫,        - [print函数_字符串_display_电传打字机_程序员的浪漫](./md/007-1075265-print函数_字符串_display_电传打字机_程序员的浪漫.sy.md)
007-1075265-print函数_程序员的浪漫_字符串_display_电传打字机.sy.md,12,45,50,007-1075265-print函数_程序员的浪漫_字符串_display_电传打字机,print函数_程序员的浪漫_字符串_display_电传打字机,        - [print函数_程序员的浪漫_字符串_display_电传打字机](./md/007-1075265-print函数_程序员的浪漫_字符串_display_电传打字机.sy.md)
008-1135268-输出h字符_REPL_引号_括号_什么是函数.sy.md,12,35,40,008-1135268-输出h字符_REPL_引号_括号_什么是函数,输出h字符_REPL_引号_括号_什么是函数,        - [输出h字符_REPL_引号_括号_什么是函数](./md/008-1135268-输出h字符_REPL_引号_括号_什么是函数.sy.md)
009-1075266-程序员的浪漫_print缘起_拼写错误_大小写敏感.sy.md,12,38,43,009-1075266-程序员的浪漫_print缘起_拼写错误_大小写敏感,程序员的浪漫_print缘起_拼写错误_大小写敏感,        - [程序员的浪漫_print缘起_拼写错误_大小写敏感](./md/009-1075266-程序员的浪漫_print缘起_拼写错误_大小写敏感.sy.md)
010-564945-编写py文件_vi_vim编辑器_保存python文件.sy.md,11,39,44,010-564945-编写py文件_vi_vim编辑器_保存python文件,编写py文件_vi_vim编辑器_保存python文件,        - [编写py文件_vi_vim编辑器_保存python文件](./md/010-564945-编写py文件_vi_vim编辑器_保存python文件.sy.md)
011-1036825-查看python文件_输出py文件_cat_运行python文件_shell.sy.md,12,51,56,011-1036825-查看python文件_输出py文件_cat_运行python文件_shell,查看python文件_输出py文件_cat_运行python文件_shell,        - [查看python文件_输出py文件_cat_运行python文件_shell](./md/011-1036825-查看python文件_输出py文件_cat_运行python文件_shell.sy.md)
012-821073-运行python文件_报错处理_NameError.sy.md,11,37,42,012-821073-运行python文件_报错处理_NameError,运行python文件_报错处理_NameError,        - [运行python文件_报错处理_NameError](./md/012-821073-运行python文件_报错处理_NameError.sy.md)
